character1,character2,lyric,song,act
MULLIGAN,MADISON,We fought with him,Alexander Hamilton,1
MULLIGAN,LAFAYETTE,We fought with him,Alexander Hamilton,1
MULLIGAN,JEFFERSON,We fought with him,Alexander Hamilton,1
MADISON,LAFAYETTE,We fought with him,Alexander Hamilton,1
MADISON,JEFFERSON,We fought with him,Alexander Hamilton,1
LAFAYETTE,JEFFERSON,We fought with him,Alexander Hamilton,1
LAURENS,PHILIP,Me? I died for him,Alexander Hamilton,1
ELIZA,ANGELICA,Me? I loved him,Alexander Hamilton,1
ELIZA,PEGGY,Me? I loved him,Alexander Hamilton,1
ELIZA,MARIA,Me? I loved him,Alexander Hamilton,1
ANGELICA,PEGGY,Me? I loved him,Alexander Hamilton,1
ANGELICA,MARIA,Me? I loved him,Alexander Hamilton,1
PEGGY,MARIA,Me? I loved him,Alexander Hamilton,1
LAURENS,LAFAYETTE,Show time!,"Aaron Burr, Sir",1
LAURENS,MULLIGAN,Show time!,"Aaron Burr, Sir",1
LAFAYETTE,MULLIGAN,Show time!,"Aaron Burr, Sir",1
LAFAYETTE,LAURENS,Ayyyyy,"Aaron Burr, Sir",1
LAURENS,LAFAYETTE,To the revolution!,"Aaron Burr, Sir",1
LAURENS,MULLIGAN,To the revolution!,"Aaron Burr, Sir",1
LAFAYETTE,MULLIGAN,To the revolution!,"Aaron Burr, Sir",1
LAFAYETTE,MULLIGAN,Boooo!,"Aaron Burr, Sir",1
MULLIGAN,LAFAYETTE,"Ooh, who is this kid? What's he gonna do?","Aaron Burr, Sir",1
MULLIGAN,LAURENS,"Ooh, who is this kid? What's he gonna do?","Aaron Burr, Sir",1
LAFAYETTE,LAURENS,"Ooh, who is this kid? What's he gonna do?","Aaron Burr, Sir",1
HAMILTON,LAFAYETTE,A-L-E-X-A-N-D,My Shot,1
HAMILTON,MULLIGAN,A-L-E-X-A-N-D,My Shot,1
HAMILTON,LAURENS,A-L-E-X-A-N-D,My Shot,1
LAFAYETTE,MULLIGAN,A-L-E-X-A-N-D,My Shot,1
LAFAYETTE,LAURENS,A-L-E-X-A-N-D,My Shot,1
MULLIGAN,LAURENS,A-L-E-X-A-N-D,My Shot,1
HAMILTON,LAFAYETTE,E-R-we are-meant to be...,My Shot,1
HAMILTON,MULLIGAN,E-R-we are-meant to be...,My Shot,1
HAMILTON,LAURENS,E-R-we are-meant to be...,My Shot,1
LAFAYETTE,MULLIGAN,E-R-we are-meant to be...,My Shot,1
LAFAYETTE,LAURENS,E-R-we are-meant to be...,My Shot,1
MULLIGAN,LAURENS,E-R-we are-meant to be...,My Shot,1
LAFAYETTE,MULLIGAN,(He says in parentheses),My Shot,1
LAFAYETTE,LAURENS,(He says in parentheses),My Shot,1
MULLIGAN,LAURENS,(He says in parentheses),My Shot,1
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,I am not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,I am not throwing away my shot,My Shot,1
MULLIGAN,LAURENS,I am not throwing away my shot,My Shot,1
MULLIGAN,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,I am not throwing away my shot,My Shot,1
HAMILTON,LAURENS,I am not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,I am not throwing away my shot,My Shot,1
MULLIGAN,LAURENS,I am not throwing away my shot,My Shot,1
MULLIGAN,LAFAYETTE,I am not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,I am not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAURENS,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
MULLIGAN,LAURENS,"Hey yo, I'm just like my country",My Shot,1
MULLIGAN,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
LAURENS,LAFAYETTE,"Hey yo, I'm just like my country",My Shot,1
HAMILTON,MULLIGAN,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAURENS,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
MULLIGAN,LAURENS,"I'm young, scrappy and hungry",My Shot,1
MULLIGAN,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
LAURENS,LAFAYETTE,"I'm young, scrappy and hungry",My Shot,1
HAMILTON,MULLIGAN,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAURENS,And I'm not throwing away my shot,My Shot,1
HAMILTON,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
MULLIGAN,LAURENS,And I'm not throwing away my shot,My Shot,1
MULLIGAN,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
LAURENS,LAFAYETTE,And I'm not throwing away my shot,My Shot,1
HAMILTON,MULLIGAN,It's time to take a shot!,My Shot,1
HAMILTON,LAURENS,It's time to take a shot!,My Shot,1
HAMILTON,LAFAYETTE,It's time to take a shot!,My Shot,1
MULLIGAN,LAURENS,It's time to take a shot!,My Shot,1
MULLIGAN,LAFAYETTE,It's time to take a shot!,My Shot,1
